"local_identifier","date","timestamp","location_long","location_lat","locationsPerDay","net_displacement","max_displecement","total_distance","avgFlight_heightAGL","sdFlight_heightAGL","flight_time","maxFlight_speed","avgFlight_speed","sdFlight_speed","setOffTimeMinute","returnBeforesunsetMinute","numberOfFlighetSegments","avgSegmentDistance","sdSegmentDistance","avgSegmentTime","sdSegmentTime","released_wild","GroundASL","origin","age_release","days_acclim","status","pre_2020","group_release","day_one","day_ten","timefromday1","season","death_date","days_to_death","max_deltaHeight0","repeat.","max_temp","median_temp","deltaHeight0_75","deltaHeight0_50","age_class","net_km","max_km","totdiskm","maxspeedkm","avgspeedkm","avgsegkm","avgseghr","setOffhr","returnhr","flightHr","dayFromDayOne","n_days"
"A20w",2020-10-05,2020-10-05 02:54:41,34.8429832458496,30.7920074462891,67,25073.4835191071,25758.5398931151,48973.0514417789,382.538461538462,203.856818782455,129.883333333333,18.8888888888889,12.5854700854701,4.14094625628441,111.566666666667,383.816666666667,2,10030.9794074757,14045.1344064273,21.4950248756219,45.9619187100159,"wild",491,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,0,"winter",2020,NA,537,"4",40,36,218.5,199,"juvenile",25.0734835191071,25.7585398931151,48.9730514417789,68,45.3076923076923,10.0309794074757,0.358250414593698,1.85944444444444,6.39694444444444,2.16472222222222,"0",9
"A20w",2020-10-06,2020-10-06 02:51:34,35.0661354064941,30.9148406982422,66,1135.85350369158,1135.85350369158,12205.9893698311,266.5,340.118361750729,20.7833333333333,14.4444444444444,13.3333333333333,1.57134840263677,221.05,30.6166666666667,1.5,6532.54593634798,1968.10011286171,0.31489898989899,1.79641649175858,"wild",288,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,1,"winter",2020,NA,521,"4",41,37,77.75,42,"juvenile",1.13585350369158,1.13585350369158,12.2059893698311,52,48,6.53254593634798,0.0052483164983165,3.68416666666667,0.510277777777778,0.346388888888889,"1",9
"A20w",2020-10-07,2020-10-07 02:49:52,35.070873260498,30.9129390716553,66,31500.3692705287,36944.9320140566,135300.217368698,770.966666666667,563.006246264936,299.966666666667,23.8888888888889,13.8425925925926,4.57720961706255,271.766666666667,99.2666666666667,2,57023.8361074217,64260.5985388224,119.379797979798,138.945256375884,"wild",240,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,2,"winter",2020,NA,3398,"4",46,38,1501.5,843.5,"juvenile",31.5003692705287,36.9449320140566,135.300217368698,86,49.8333333333333,57.0238361074217,1.9896632996633,4.52944444444444,1.65444444444444,4.99944444444444,"2",9
"A20w",2020-10-08,2020-10-08 02:49:10,35.1583595275879,30.6438312530518,66,34896.6833712884,35273.389330769,54204.1015273307,406.4,168.949189318649,150.25,15.5555555555556,11.2777777777778,3.40012449196299,321.383333333333,237.616666666667,1,13529.5967043377,18779.4065987082,34.1477272727273,63.447797701865,"wild",34,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,3,"winter",2020,NA,1040,"4",45,42,284.75,202,"juvenile",34.8966833712884,35.273389330769,54.2041015273307,56,40.6,13.5295967043377,0.569128787878788,5.35638888888889,3.96027777777778,2.50416666666667,"3",9
"A20w",2020-10-09,2020-10-09 02:48:06,35.0552597045898,30.9352111816406,66,25195.1521703989,25195.1521703989,53552.4600355991,343.6875,185.086184879729,155.1,21.1111111111111,14.4270833333333,3.72466579548633,281.683333333333,29.8833333333333,1.5,8356.01512895336,8461.24795325818,19.1631313131313,34.6414568734852,"wild",266,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,4,"winter",2020,NA,947,"4",44,40,257,162.5,"juvenile",25.1951521703989,25.1951521703989,53.5524600355991,76,51.9375,8.35601512895336,0.319385521885522,4.69472222222222,0.498055555555556,2.585,"4",9
"A20w",2020-10-10,2020-10-10 02:47:20,34.8934516906738,30.7561473846436,66,25744.4998732155,25856.9745461712,73761.965201905,438.4,279.116612428091,242.466666666667,21.1111111111111,11.9777777777778,4.66283462595139,161.366666666667,31.35,2.5,12873.1376060632,16484.4731216305,37.9575757575758,52.415430475971,"wild",477,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,5,"winter",2020,NA,858,"4",39,37,231.75,133.5,"juvenile",25.7444998732155,25.8569745461712,73.761965201905,76,43.12,12.8731376060632,0.632626262626263,2.68944444444444,0.5225,4.04111111111111,"5",9
"A20w",2020-10-11,2020-10-11 02:46:41,35.0744857788086,30.9366359710693,64,3055.2026078576,3061.83551220937,16027.8762899897,145,165.462986797652,18.8,19.1666666666667,14.0277777777778,7.26748636219507,241.583333333333,441.866666666667,1,6622.9459706158,768.282238337222,0.5875,3.29692015973735,"wild",215,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,6,"winter",2020,NA,1345,"4",45,37,239,59.5,"juvenile",3.0552026078576,3.06183551220937,16.0278762899897,69,50.5,6.6229459706158,0.00979166666666667,4.02638888888889,7.36444444444444,0.313333333333333,"6",9
"A20w",2020-10-12,2020-10-12 02:42:50,35.0666999816895,30.9164085388184,65,25446.8887619144,73611.5988320285,201437.128482097,488.4,226.0927651685,400,21.6666666666667,14.0972222222222,3.90652796573528,200.75,51.4,5,40230.4493655378,42449.5830127228,76.3271794871795,78.8751056286288,"wild",328,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,7,"winter",2020,NA,1624,"4",41,33,918,604,"juvenile",25.4468887619144,73.6115988320285,201.437128482097,78,50.75,40.2304493655378,1.27211965811966,3.34583333333333,0.856666666666667,6.66666666666667,"7",9
"A20w",2020-10-13,2020-10-13 02:44:10,34.8280029296875,30.8165607452393,64,25080.7642002673,26938.7064641034,79559.1741207653,391.25,204.651410940653,160.216666666667,21.3888888888889,13.6284722222222,4.44151379071217,171.566666666667,288.35,3,9992.62661489019,13452.2833588007,15.9611979166667,29.0888312983241,"wild",439,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,8,"winter",2020,NA,587,"4",39,35.5,154.5,101.5,"juvenile",25.0807642002673,26.9387064641034,79.5591741207653,77,49.0625,9.99262661489019,0.266019965277778,2.85944444444444,4.80583333333333,2.67027777777778,"8",9
"A20w",2020-10-14,2020-10-14 04:14:51,35.0652656555176,30.9122791290283,64,25456.233802286,60420.4614046613,209991.862064985,512.565217391304,281.592349341614,456.85,24.1666666666667,13.2125603864734,4.95059687063683,201.7,29.6333333333333,1.5,73155.4213781775,45374.5817586949,166.853125,107.93581821748,"wild",276,"wild",0,NA,"wild","5","9",2020-10-05,2020-10-15,9,"winter",2020,NA,1245,"4",42,34,873.25,555,"juvenile",25.456233802286,60.4204614046613,209.991862064985,87,47.5652173913043,73.1554213781775,2.78088541666667,3.36166666666667,0.493888888888889,7.61416666666667,"9",9
